Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
08-Oct-2024,EQ,916.0,924.8,893.85,927.85,924.8,919.8,909.63,1179.0,613.7,21177886,19264094909.95,581422
07-Oct-2024,EQ,942.0,944.45,915.0,930.75,928.3,927.85,929.05,1179.0,613.7,11772546,10937292703.65,349818
04-Oct-2024,EQ,930.0,949.2,920.0,925.7,933.55,930.75,934.22,1179.0,608.3,19187758,17925620904.35,464043
03-Oct-2024,EQ,939.0,950.15,925.0,965.2,928.8,925.7,934.51,1179.0,608.3,24418517,22819300079.7,867561
01-Oct-2024,EQ,976.9,984.5,958.9,974.65,966.4,965.2,972.72,1179.0,608.3,10085203,9810098380.4,247160
30-Sep-2024,EQ,993.0,996.95,971.8,993.0,975.8,974.65,979.12,1179.0,608.3,12225895,11970675193.8,375285
27-Sep-2024,EQ,996.0,1000.4,989.15,993.15,989.9,993.0,994.16,1179.0,608.3,10360030,10299508735.85,302339
26-Sep-2024,EQ,970.8,994.95,965.6,963.6,990.9,993.15,984.31,1179.0,608.3,21640021,21300573909.5,411197
25-Sep-2024,EQ,982.4,982.5,959.25,977.3,964.0,963.6,965.11,1179.0,608.3,12959075,12506901289.0,483047
24-Sep-2024,EQ,974.0,985.0,972.6,971.8,976.95,977.3,977.93,1179.0,608.3,12755422,12473906842.3,369601
23-Sep-2024,EQ,973.5,979.2,966.05,970.85,972.3,971.8,972.23,1179.0,608.3,10254297,9969567890.4,260064
20-Sep-2024,EQ,967.0,977.5,949.2,967.0,971.3,970.85,968.78,1179.0,608.3,16764981,16241531315.75,345069
19-Sep-2024,EQ,970.4,978.95,956.35,962.05,969.95,967.0,966.21,1179.0,608.3,13466770,13011704761.55,318723
18-Sep-2024,EQ,978.2,983.7,957.15,974.95,959.2,962.05,968.76,1179.0,608.3,12044431,11668131471.45,241634
17-Sep-2024,EQ,995.0,995.0,960.0,988.4,975.0,974.95,969.17,1179.0,608.3,44516613,43144098335.6,518729
16-Sep-2024,EQ,997.0,999.9,984.5,992.1,988.45,988.4,990.38,1179.0,608.3,5836274,5780110599.55,189546
