"Date","series","OPEN","HIGH","LOW","PREV. CLOSE","ltp","close","vwap","52W H","52W L","VOLUME","VALUE","No of trades"
"23-Jul-2024","EQ","2,824.00","2,854.50","2,743.40","2,804.75","2,817.00","2,821.35","2,818.29","3,013.50","1,415.75","25,72,524","7,25,01,23,643.30","1,30,724"
"22-Jul-2024","EQ","2,751.05","2,819.00","2,725.00","2,749.30","2,805.00","2,804.75","2,794.83","3,013.50","1,415.75","22,08,103","6,17,12,77,473.15","1,38,149"
"19-Jul-2024","EQ","2,819.95","2,819.95","2,743.00","2,819.45","2,756.20","2,749.30","2,773.85","3,013.50","1,415.75","20,42,568","5,66,57,71,010.45","1,31,251"
"18-Jul-2024","EQ","2,756.00","2,825.95","2,736.50","2,756.75","2,815.05","2,819.45","2,789.28","3,013.50","1,415.75","41,22,844","11,49,97,61,577.25","2,08,380"
"16-Jul-2024","EQ","2,754.95","2,766.85","2,740.00","2,731.05","2,752.20","2,756.75","2,752.88","3,013.50","1,415.75","19,25,983","5,30,19,98,871.70","89,569"
"15-Jul-2024","EQ","2,722.85","2,739.00","2,708.10","2,703.95","2,730.00","2,731.05","2,724.70","3,013.50","1,415.75","20,17,720","5,49,76,89,205.20","1,44,350"
"12-Jul-2024","EQ","2,689.65","2,722.30","2,687.15","2,698.05","2,704.00","2,703.95","2,706.37","3,013.50","1,415.75","33,98,732","9,19,82,27,939.40","1,89,109"
"11-Jul-2024","EQ","2,757.95","2,757.95","2,691.00","2,732.00","2,700.00","2,698.05","2,714.29","3,013.50","1,415.75","43,14,565","11,71,09,77,305.15","2,26,150"
"10-Jul-2024","EQ","2,930.00","2,930.00","2,697.90","2,925.50","2,729.90","2,732.00","2,739.33","3,013.50","1,415.75","1,44,81,615","39,66,99,23,612.65","6,26,816"
"09-Jul-2024","EQ","2,855.35","2,940.00","2,837.25","2,851.35","2,915.05","2,925.50","2,905.08","3,013.50","1,415.75","29,02,129","8,43,09,08,732.90","1,58,508"
"08-Jul-2024","EQ","2,880.60","2,918.60","2,847.50","2,880.60","2,849.65","2,851.35","2,873.64","3,013.50","1,415.75","16,31,998","4,68,97,76,456.45","93,280"
"05-Jul-2024","EQ","2,886.00","2,886.00","2,840.00","2,902.80","2,879.00","2,880.60","2,863.73","3,013.50","1,415.75","19,66,103","5,63,03,87,330.55","1,35,972"
"04-Jul-2024","EQ","2,890.00","2,922.00","2,885.05","2,877.95","2,901.10","2,902.80","2,906.64","3,013.50","1,415.75","15,02,213","4,36,63,87,530.35","89,312"
"03-Jul-2024","EQ","2,871.00","2,895.00","2,865.10","2,865.15","2,880.00","2,877.95","2,877.60","3,013.50","1,415.75","10,19,710","2,93,43,16,164.00","57,181"
"02-Jul-2024","EQ","2,890.20","2,891.00","2,850.00","2,875.85","2,862.95","2,865.15","2,870.12","3,013.50","1,415.75","15,07,890","4,32,78,18,202.15","1,04,840"
"01-Jul-2024","EQ","2,841.00","2,894.05","2,838.25","2,866.65","2,867.50","2,875.85","2,870.30","3,013.50","1,415.75","17,18,501","4,93,26,15,396.90","1,12,190"
"28-Jun-2024","EQ","2,855.00","2,896.00","2,855.00","2,888.95","2,866.45","2,866.65","2,870.77","3,013.50","1,369.95","25,48,169","7,31,52,00,075.70","2,00,148"
"27-Jun-2024","EQ","2,842.00","2,905.00","2,793.05","2,851.50","2,885.00","2,888.95","2,855.69","3,013.50","1,369.95","69,00,180","19,70,48,06,762.00","3,18,943"
"26-Jun-2024","EQ","2,907.05","2,912.95","2,844.60","2,909.40","2,856.75","2,851.50","2,870.49","3,013.50","1,369.95","32,82,318","9,42,18,69,983.70","1,51,058"
"25-Jun-2024","EQ","2,921.20","2,947.00","2,891.05","2,915.80","2,909.00","2,909.40","2,913.46","3,013.50","1,369.95","19,10,886","5,56,72,98,518.65","87,557"
"24-Jun-2024","EQ","2,836.50","2,923.95","2,813.05","2,839.95","2,921.20","2,915.80","2,884.85","3,013.50","1,369.95","26,99,784","7,78,84,82,677.65","2,06,488"
"21-Jun-2024","EQ","2,884.75","2,920.90","2,825.05","2,871.20","2,834.65","2,839.95","2,858.53","3,013.50","1,368.50","84,00,461","24,01,29,94,456.40","2,67,549"
"20-Jun-2024","EQ","2,945.05","2,954.75","2,857.30","2,933.85","2,874.05","2,871.20","2,889.52","3,013.50","1,368.50","40,24,418","11,62,86,43,402.40","1,73,356"
"19-Jun-2024","EQ","2,975.00","2,977.00","2,926.45","2,961.90","2,930.00","2,933.85","2,952.72","3,013.50","1,368.50","35,12,298","10,37,08,40,452.70","1,35,558"
"18-Jun-2024","EQ","2,965.00","3,013.50","2,956.65","2,928.60","2,958.15","2,961.90","2,977.67","3,013.50","1,368.50","48,87,512","14,55,34,14,432.35","1,91,759"
"14-Jun-2024","EQ","2,875.00","2,946.00","2,865.00","2,861.70","2,924.00","2,928.60","2,913.17","2,946.00","1,366.00","35,15,019","10,23,98,54,158.60","1,89,489"
"13-Jun-2024","EQ","2,850.00","2,879.10","2,788.65","2,787.55","2,877.00","2,861.70","2,833.48","2,886.00","1,366.00","24,92,637","7,06,28,34,186.90","1,43,736"
"12-Jun-2024","EQ","2,835.55","2,848.60","2,782.05","2,835.55","2,796.65","2,787.55","2,812.62","2,886.00","1,366.00","25,80,846","7,25,89,33,750.00","1,40,894"
"11-Jun-2024","EQ","2,821.00","2,855.00","2,813.40","2,807.55","2,833.25","2,835.55","2,834.11","2,886.00","1,366.00","22,98,974","6,51,55,35,399.70","1,21,561"
"10-Jun-2024","EQ","2,861.00","2,886.00","2,800.00","2,857.45","2,814.00","2,807.55","2,824.87","2,886.00","1,366.00","20,21,106","5,70,93,64,107.25","1,26,237"
"07-Jun-2024","EQ","2,668.35","2,867.60","2,668.35","2,699.85","2,845.00","2,857.45","2,800.79","2,867.60","1,346.35","64,47,821","18,05,90,18,225.70","2,63,057"
"06-Jun-2024","EQ","2,745.00","2,761.90","2,670.90","2,740.95","2,699.00","2,699.85","2,705.02","2,761.90","1,346.35","49,92,660","13,50,52,57,471.65","2,90,943"
"05-Jun-2024","EQ","2,572.90","2,753.70","2,571.80","2,572.90","2,728.90","2,740.95","2,694.50","2,753.70","1,346.35","42,42,881","11,43,24,36,746.25","2,41,980"
"04-Jun-2024","EQ","2,634.25","2,639.00","2,448.20","2,634.00","2,584.00","2,572.90","2,557.71","2,654.35","1,346.35","63,72,249","16,29,83,92,753.85","3,75,878"
"03-Jun-2024","EQ","2,575.05","2,654.35","2,570.40","2,506.25","2,641.80","2,634.00","2,631.64","2,654.35","1,346.35","27,01,157","7,10,84,82,575.95","1,43,508"
"31-May-2024","EQ","2,517.75","2,569.20","2,495.15","2,493.50","2,517.95","2,506.25","2,520.24","2,617.40","1,298.00","87,69,724","22,10,17,81,610.85","2,73,642"
"30-May-2024","EQ","2,518.00","2,531.45","2,478.00","2,533.65","2,501.15","2,493.50","2,497.83","2,617.40","1,298.00","33,67,101","8,41,04,58,256.20","1,70,101"
"29-May-2024","EQ","2,510.25","2,547.00","2,500.60","2,552.80","2,530.00","2,533.65","2,525.21","2,617.40","1,298.00","27,20,451","6,86,97,20,458.35","1,12,815"
"28-May-2024","EQ","2,550.00","2,581.95","2,548.00","2,549.10","2,550.00","2,552.80","2,558.57","2,617.40","1,298.00","15,49,203","3,96,37,47,876.75","85,473"
"27-May-2024","EQ","2,581.15","2,589.75","2,541.00","2,579.75","2,548.90","2,549.10","2,565.01","2,617.40","1,298.00","33,28,559","8,53,77,84,466.25","88,947"
"24-May-2024","EQ","2,589.80","2,605.00","2,572.40","2,609.20","2,576.45","2,579.75","2,588.50","2,617.40","1,251.30","29,19,241","7,55,64,69,846.60","1,30,155"
"23-May-2024","EQ","2,520.00","2,617.40","2,500.25","2,521.05","2,610.00","2,609.20","2,565.13","2,617.40","1,251.30","47,15,263","12,09,52,58,090.65","2,09,714"
"22-May-2024","EQ","2,521.70","2,535.00","2,490.00","2,522.65","2,516.00","2,521.05","2,510.64","2,557.95","1,251.30","29,74,921","7,46,89,66,735.75","1,42,667"
"21-May-2024","EQ","2,503.00","2,536.95","2,467.00","2,503.70","2,516.55","2,522.65","2,504.01","2,557.95","1,251.30","37,47,292","9,38,32,70,683.15","1,68,361"
"18-May-2024","EQ","2,527.95","2,527.95","2,500.05","2,514.60","2,504.00","2,503.70","2,509.63","2,557.95","1,237.45","2,57,091","64,52,03,745.00","13,739"
"17-May-2024","EQ","2,425.35","2,557.95","2,425.35","2,371.75","2,510.00","2,514.60","2,519.07","2,557.95","1,237.45","97,96,445","24,67,79,57,925.85","3,89,049"
"16-May-2024","EQ","2,319.45","2,393.90","2,286.20","2,302.30","2,393.90","2,371.75","2,326.15","2,393.90","1,237.45","74,44,517","17,31,70,83,306.05","3,06,022"
"15-May-2024","EQ","2,281.30","2,317.15","2,256.00","2,269.90","2,301.45","2,302.30","2,292.14","2,317.15","1,237.45","25,69,084","5,88,86,94,717.25","1,25,876"
"14-May-2024","EQ","2,175.00","2,280.35","2,175.00","2,184.25","2,271.80","2,269.90","2,252.95","2,280.35","1,237.45","38,30,189","8,62,92,23,966.15","2,33,647"
"13-May-2024","EQ","2,208.00","2,208.05","2,160.00","2,193.05","2,206.90","2,184.25","2,176.83","2,256.75","1,237.45","25,75,573","5,60,65,91,080.55","1,22,635"
"10-May-2024","EQ","2,211.85","2,231.65","2,183.00","2,212.55","2,193.80","2,193.05","2,200.08","2,256.75","1,213.70","30,45,912","6,70,12,63,581.85","1,56,040"
"09-May-2024","EQ","2,185.55","2,256.75","2,185.00","2,182.40","2,215.65","2,212.55","2,225.13","2,256.75","1,213.70","39,98,822","8,89,78,90,554.65","2,81,445"
"08-May-2024","EQ","2,191.70","2,195.00","2,160.00","2,191.50","2,183.60","2,182.40","2,178.86","2,240.00","1,213.70","19,93,202","4,34,29,06,748.55","1,13,972"
"07-May-2024","EQ","2,236.00","2,236.90","2,164.85","2,224.95","2,195.70","2,191.50","2,193.59","2,240.00","1,213.70","17,27,823","3,79,01,38,026.15","1,21,466"
"06-May-2024","EQ","2,200.45","2,240.00","2,190.00","2,193.00","2,227.00","2,224.95","2,220.18","2,240.00","1,213.70","21,11,447","4,68,77,85,713.15","1,17,348"
"03-May-2024","EQ","2,210.00","2,210.00","2,172.35","2,185.15","2,193.15","2,193.00","2,189.88","2,210.00","1,208.05","38,59,227","8,45,12,28,639.95","2,00,650"
